"","date","btc_price"
"537",2015-09-18,232.975006
"538",2015-09-19,231.492996
"539",2015-09-20,231.212006
"540",2015-09-21,227.085007
"541",2015-09-22,230.617996
"542",2015-09-23,230.283005
"543",2015-09-24,234.529007
"544",2015-09-25,235.143997
"545",2015-09-26,234.339996
"546",2015-09-27,232.757004
"547",2015-09-28,239.141998
"548",2015-09-29,236.686996
"549",2015-09-30,236.059998
"550",2015-10-01,237.548996
"551",2015-10-02,237.292999
"552",2015-10-03,238.729996
"553",2015-10-04,238.259003
"554",2015-10-05,240.382996
"555",2015-10-06,246.063004
"556",2015-10-07,242.968994
"557",2015-10-08,242.304001
"558",2015-10-09,243.931
"559",2015-10-10,244.940994
"560",2015-10-11,247.050003
"561",2015-10-12,245.307999
"562",2015-10-13,249.507996
"563",2015-10-14,251.988998
"564",2015-10-15,254.320007
"565",2015-10-16,262.868988
"566",2015-10-17,270.640015
"567",2015-10-18,261.643005
"568",2015-10-19,263.437012
"569",2015-10-20,269.463013
"570",2015-10-21,266.272003
"571",2015-10-22,274.02301
"572",2015-10-23,276.496002
"573",2015-10-24,281.653992
"574",2015-10-25,283.679993
"575",2015-10-26,285.299988
"576",2015-10-27,293.787994
"577",2015-10-28,304.618011
"578",2015-10-29,313.855011
"579",2015-10-30,328.015015
"580",2015-10-31,314.165985
"581",2015-11-01,325.431
"582",2015-11-02,361.188995
"583",2015-11-03,403.416992
"584",2015-11-04,411.562988
"585",2015-11-05,386.354004
"586",2015-11-06,374.470001
"587",2015-11-07,386.481995
"588",2015-11-08,373.368011
"589",2015-11-09,380.256989
"590",2015-11-10,336.819
"591",2015-11-11,311.084015
"592",2015-11-12,338.152008
"593",2015-11-13,336.752991
"594",2015-11-14,332.906006
"595",2015-11-15,320.165985
"596",2015-11-16,330.751007
"597",2015-11-17,335.093994
"598",2015-11-18,334.589996
"599",2015-11-19,326.148987
"600",2015-11-20,322.022003
"601",2015-11-21,326.927002
"602",2015-11-22,324.536011
"603",2015-11-23,323.04599
"604",2015-11-24,320.04599
"605",2015-11-25,328.205994
"606",2015-11-26,352.68399
"607",2015-11-27,358.041992
"608",2015-11-28,357.381012
"609",2015-11-29,371.294006
"610",2015-11-30,377.321014
"611",2015-12-01,362.488007
"612",2015-12-02,359.187012
"613",2015-12-03,361.04599
"614",2015-12-04,363.183014
"615",2015-12-05,388.949005
"616",2015-12-06,388.78299
"617",2015-12-07,395.536011
"618",2015-12-08,415.562988
"619",2015-12-09,417.562988
"620",2015-12-10,415.479004
"621",2015-12-11,451.937988
"622",2015-12-12,434.997009
"623",2015-12-13,433.755005
"624",2015-12-14,444.182007
"625",2015-12-15,465.321014
"626",2015-12-16,454.93399
"627",2015-12-17,456.078003
"628",2015-12-18,463.615997
"629",2015-12-19,462.321991
"630",2015-12-20,442.684998
"631",2015-12-21,438.639008
"632",2015-12-22,436.571991
"633",2015-12-23,442.401001
"634",2015-12-24,454.984985
"635",2015-12-25,455.653015
"636",2015-12-26,417.273987
"637",2015-12-27,422.822998
"638",2015-12-28,422.278992
"639",2015-12-29,432.983002
"640",2015-12-30,426.619995
"641",2015-12-31,430.566986
"642",2016-01-01,434.334015
"643",2016-01-02,433.437988
"644",2016-01-03,430.010986
"645",2016-01-04,433.091003
"646",2016-01-05,431.959991
"647",2016-01-06,429.105011
"648",2016-01-07,458.048004
"649",2016-01-08,453.230011
"650",2016-01-09,447.610992
"651",2016-01-10,447.990997
"652",2016-01-11,448.428009
"653",2016-01-12,435.690002
"654",2016-01-13,432.371002
"655",2016-01-14,430.306
"656",2016-01-15,364.330994
"657",2016-01-16,387.536011
"658",2016-01-17,382.299011
"659",2016-01-18,387.167999
"660",2016-01-19,380.148987
"661",2016-01-20,420.230011
"662",2016-01-21,410.261993
"663",2016-01-22,382.492004
"664",2016-01-23,387.490997
"665",2016-01-24,402.971008
"666",2016-01-25,391.726013
"667",2016-01-26,392.153015
"668",2016-01-27,394.971985
"669",2016-01-28,380.289001
"670",2016-01-29,379.473999
"671",2016-01-30,378.255005
"672",2016-01-31,368.766998
